feature,feature_ja,category,irl_share_avg,rf_share_avg,share_diff,irl_rank_avg,rf_rank_avg,rank_diff,irl_signed_avg,irl_share_0-3m,rf_share_0-3m,irl_rank_0-3m,rf_rank_0-3m,irl_signed_0-3m,irl_share_3-6m,rf_share_3-6m,irl_rank_3-6m,rf_rank_3-6m,irl_signed_3-6m,irl_share_6-9m,rf_share_6-9m,irl_rank_6-9m,rf_rank_6-9m,irl_signed_6-9m,irl_share_9-12m,rf_share_9-12m,irl_rank_9-12m,rf_rank_9-12m,irl_signed_9-12m
path_acceptance_rate,パス承諾率,path,0.027096272963203372,0.0768188384117916,-0.04972256544858823,16.75,3.0,-13.75,-0.0005148709733475698,0.027304591976632243,0.08766043169042047,18,3,-0.0012975430581718683,0.03214967941986934,0.07540420314797283,12,3,-0.00026360145420767367,0.02506715177842658,0.0656525241105924,17,3,-0.00012104675261070952,0.02386366867788533,0.0785581946981807,20,3,-0.00037729262840002775
complex_pr_bias,複雑PRバイアス,state,0.026500647903708034,0.018272513516760812,0.008228134386947222,16.75,17.5,0.75,-0.0008736011741348193,0.02593516770058225,0.01454134585943342,20,19,-0.0011416020570322871,0.025357748888023682,0.01775352602886532,16,19,-0.0004536219930741936,0.030661466634662324,0.019063280975474568,12,18,-0.0019365352345630527,0.024048208391563873,0.021731901203269947,19,14,3.735458813025616e-05
total_changes,総レビュー依頼数,state,0.025444537227006604,0.014896269092580416,0.010548268134426188,18.5,21.75,3.25,-0.0007241467537824064,0.033842767556637995,0.01575819268681495,12,18,-9.129015961661935e-05,0.020725758398823766,0.014912302828768858,21,23,-0.0005996187101118267,0.020693046413270435,0.015095213526096963,23,22,-0.0008004914270713925,0.02651657653929422,0.013819367328640897,18,24,-0.0014051867183297873
recent_acceptance_rate,最近の承諾率,state,0.024587648419582962,0.012541781633441433,0.01204586678614153,18.75,24.25,5.5,0.0013426027558125497,0.02260866573181407,0.012073469369659818,21,24,-0.0005907444865442812,0.028225976500597244,0.013078707763821796,15,24,0.003159994725137949,0.0246061378032174,0.011223996141508479,18,24,0.0027733142487704754,0.022909813642703135,0.01379095325877564,21,25,2.784653588605579e-05
avg_activity_gap,平均活動間隔,state,0.02441172438719564,0.02781594186877886,-0.0034042174815832223,19.0,9.0,-10.0,0.0009782339329831302,0.019368614719412165,0.032386347893026204,23,7,-0.0003271243185736239,0.019897350707880863,0.02766907559465524,22,9,0.000771267747040838,0.02915223422887289,0.02339600981075426,14,11,0.002162584103643894,0.02922869789261664,0.027812334176679745,17,9,0.0013062081998214126
acceptance_trend,承諾率トレンド,state,0.021038226274957578,0.018398789478996785,0.0026394367959607923,22.25,17.25,-5.0,0.0009192388752126135,0.021568952025826482,0.017323205141341603,22,15,-0.00043525962973944843,0.023693715756305602,0.01625609548897913,20,20,0.001626994926482439,0.019529256442237238,0.02066199000273908,24,15,0.0015192247228696942,0.01936098087546098,0.019353867282927324,23,19,0.0009659954812377691
avg_review_size,レビュー規模,action,0.014062618610872366,0.01951772798737782,-0.005455109376505455,23.75,15.75,-8.0,0.001049469394274638,0.004073438101387596,0.017311768793953623,26,16,6.176179886097088e-05,0.008292047167888983,0.019010362402370883,26,18,0.0010019150795415044,0.02303787444895286,0.018481430189127148,21,19,0.0019358489662408829,0.02084711472526002,0.02326735056405963,22,10,0.001198351732455194
avg_action_intensity,行動強度,action,0.012115500714082189,0.019619128300434094,-0.007503627586351905,24.75,15.25,-9.5,0.0008149243014941021,0.004340601507895819,0.018189597234274584,25,13,-1.2267347301531117e-05,0.010338095774794255,0.020977565084864033,25,15,0.001117207226343453,0.019049919627189944,0.019593744306124688,25,16,0.0013417494483292103,0.014733385946448737,0.019715606576473067,24,17,0.0008130078786052763
repeat_collaboration_rate,リピート協力率,action,0.01064820255712329,0.020995405387162352,-0.010347202830039063,26.0,13.25,-12.75,-0.0004060885403305292,0.0073741824796076305,0.019023895256590158,24,12,-4.294893005862832e-05,0.0032912850759521765,0.019924305260322142,28,16,-0.0004037629987578839,0.01777046125815867,0.022155684278502213,26,13,-0.0004767733335029334,0.014156881414774681,0.022877736753234904,26,12,-0.0007008688990026712
avg_response_time,応答速度,action,0.0063621604032695804,0.028414452854167438,-0.02205229245089786,26.5,8.75,-17.75,-0.0005464830592245562,0.0013851370861498985,0.0262456356779376,27,9,-6.553316052304581e-05,0.011425635585876703,0.023916376632702487,24,11,-0.0012706461129710078,0.008523672588927202,0.03206716331330271,27,7,-0.0007017290336079895,0.004114196352124518,0.03142863579272695,28,8,-0.00014802392979618162
avg_change_lines,平均変更行数,action,0.004794130688495435,0.02042505592861587,-0.015630925240120434,27.5,14.25,-13.25,0.0003409157727674028,0.001190816964344435,0.019519761081983292,28,11,1.2930163393320981e-05,0.004487187060742297,0.021063549685542207,27,14,0.0004865929950028658,0.006796310472215523,0.021610960841579097,28,14,0.0004975855117663741,0.006702208256679487,0.01950595210535889,27,18,0.00036655442090705037
